Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Jonglei State,Pigi County,Atar Payam,Khorfulus PHCC,Tu7Uu6UhGFE,Khorfulus PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Pigi County,Khorwac Payam,Khorwac PHCC,y5UEMRBtdHt,Khorwac PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Paguer Payam,Koat Nyakong PHCU,GkJfHmBujAp,Koat Nyakong PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Pigi County,Khorwac Payam,Kolanyang PHCU,cM1tRbPp9PX,Kolanyang PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Jalle Payam,Kolmerak PHCU,psqdrqau2s2,Kolmerak PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Bor South County,Kolnyang Payam,Kolnyang PHCC,VfhRFbcBr9g,Kolnyang PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Twic East County,Kongor Payam,Kongor PHCC,Scmg0SG9fB0,Kongor PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Duk County,Padiet Payam,Koyom Island PHCU,ljwF7v1WYNv,Koyom Island PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Ayod County,Kuach-deng Payam,Kuachdeng PHCU,o8rfCX76JY8,Kuachdeng PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Manajang Payam,Kuemduok PHCU,dBSla4R7qXb,Kuemduok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Manajang Payam,Kuernyang PHCC,NFdLaRvJKIn,Kuernyang PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Jonglei State,Fangak County,Paguer Payam,Kuerphon PHCU,aiA6nEV2gIY,Kuerphon PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Matangai Payam,Abeer PHCU,MOtBF8Hl1Jj,Abeer PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Abiriu Payam,Abiriu PHCC,X1KzCfAWQy4,Abiriu PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Awerial County,Abuyung Payam,Abuyung PHCU,y13EQSM0aFS,Abuyung PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek North County,Malueeth Payam,Achiek PHCU,vB7nvzMx1xn,Achiek PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Lekakedu Payam,Acigor PHCU,P8IHkhEZMbh,Acigor PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Adior Payam,Adior PHCC,KMzkuJjXEZM,Adior PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Amongpiny Payam,Adir-Dir PHCU,GKPCLhFe98F,Adir-Dir PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Aduel Payam,Aduel PHCC,vNJA1Q4M3D0,Aduel PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Ngap Payam,Agangrial PHCU,IFoxvWf3JFx,Agangrial PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Yirol West County,Aluakluak Payam,Agany PHCU,vP85vJUqiFZ,Agany PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Jiir Payam,Akoljal PHCU,m8itCpQwtBg,Akoljal PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Akot Payam,Akot PHCC,iZnD567dPan,Akot PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek North County,Aloor Payam,Aloor PHCU,cqfP9xPnVEv,Aloor PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Yirol West County,Aluakluak Payam,Aluak Luak PHCC,MB3iWYWO1L5,Aluak Luak PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Adior Payam,Billing PHCU,X6UW5k9GL43,Billing PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Awerial County,Bunangok Payam,Bunagok PHCC,goSJRXs3Sos,Bunagok PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Citcok Payam,Chitchok PHCC,upnocuYN7Ri,Chitchok PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Matangai Payam,Coloc-Cok PHCU,l5euzqv2dq5,Coloc-Cok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Malou Pec Payam,Cueibet County Hospital,AWKbfRNMd4O,Cueibet County Hospital,   County Hospital,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Cueicok Payam,Cueicok PHCC,bzbBqVX2Y42,Cueicok PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Rumbek Town Payam,Deng Nhial PHCU,JWUoD6I4M3d,Deng Nhial PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Wulu County,Domoloto Payam,Deteku PHCU,OBp5taHJNpN,Deteku PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Aduel Payam,Dhiau-Kuei PHCU,FApiPaNLjot,Dhiau-Kuei PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Wulu County,Domoloto Payam,Dokuru PHCU,p1Waq6NlcYA,Dokuru PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Awerial County,Dor Payam,Dor PHCU,cRqbykE2lKt,Dor PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Duony Payam,Duony PHCU,wG6sWUBxZUj,Duony PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Wulu County,Wulu Payam,Guba PHCU,zNmIbrd7W1P,Guba PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Wulu County,Bargel Payam,Gulmar PHCU,WylnSOa9haX,Gulmar PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Awerial County,Puluk Payam,Kalthok PHCU,UM0b6bZFTww,Kalthok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Pagarau Payam,KAP PHCU,cOIn2qPimik,KAP PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Rumbek Town Payam,Kiir Mayardit Woman HOSPITAL,TOdkTsJY3h6,Kiir Mayardit Woman HOSPITAL, Teaching Hospital,Orange,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Abiriu Payam,kubri William PHCU,KTiWbZ6Atgi,kubri William PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Malenagok Payam,Kuelkuec PHCU,JN4paBv58cl,Kuelkuec PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Wulu County,Makundi Payam,Laam PHCU,zCQvhqiTJXt,Laam PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Malek Payam (Yirol E),Lang Matol PHCU,uJcPVJSuzqr,Lang Matol PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Cueibet County,Malou Pec Payam,Langdit PHCU,vGjvyhjPFGM,Langdit PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Yirol East County,Lekakedu Payam,Lekakedu PHCU,L0Co4qnORlK,Lekakedu PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Malual East Payam,Abyei Chok PHCU,DUpxinmloYC,Abyei Chok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Achana Payam,Achana PHCU,s37WkNe9YQr,Achana PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Malual Bai Payam,Adoor PHCU,fxaV3wurjMH,Adoor PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Aguat PHCU,JuvvKpl9zpG,Aguat PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Malual Centre Payam,Ajak Wol PHCU,jNK9M0NLB4V,Ajak Wol PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil South County,Gakrol Payam,Akac PHCC,IMXROb7FlIE,Akac PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Yargot Payam,Akuem PHCC,T9Bp33InwUe,Akuem PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Bar Mayen Payam,Alok PHCU,Yiwr6jkFv5K,Alok PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Aluel Achot PHCU,ASrOtFjEFjd,Aluel Achot PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Amatnyang PHCU,fIfrTFzMpnb,Amatnyang PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Gomjuer East Payam,Amatnyang PHCU,aszmXb8W6Cd,Amatnyang PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Chelcou PHCC,ZzWVxppIMd0,Chelcou PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Baach Payam,Cuomator PHCU,W6wrCFXpQah,Cuomator PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Nyalath Payam,Gabat PHCC,dhF0zQRQ05S,Gabat PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Malual North Payam,Gok Machar PHCC,Z3fTSFMtfNV,Gok Machar PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Baach Payam,Goldhim TB PHCC,Z3Qy7YoybYO,Goldhim TB PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil West County,Mariem East Payam,Guangnou PHCU,foq1ThudZZ3,Guangnou PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Malual West Payam (Aweil N),Jaac PPF PHCU,lQWfadajAZH,Jaac PPF PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil North County,Ariath Payam,Kajik PHCU,k4taRUZgwhL,Kajik PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Awulic Payam,Kuom PHCU,av3CEhUL2fD,Kuom PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Pibor Administrative Area,Pochalla County,Adongo Payam,Ajwara PHCU,wDjXMhTBjVT,Ajwara PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Pibor Administrative Area,Pibor County,Gumuruk Payam,Boma PHCC,BKpbwBh3Xo4,Boma PHCC,   County Hospital,Green,#REF!,#REF!
South Sudan,Pibor Administrative Area,Pibor County,Kiziongora Payam,Khoradep PHCU,x6wg9iAelYO,Khoradep PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Pibor Administrative Area,Pibor County,Miwono Payam,Labarab PHCU,wJoDKf7eos6,Labarab PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Abiemnhom County,Abiemnom Payam,Abiemnom PHCC,uLEi6odqenf,Abiemnom PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Ajoungthok PHCU,kFzl6ODllUV,Ajoungthok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Biu Payam,Biu PHCC,P4jn4BDBHvT,Biu PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Aliiny Payam,Bongki PHCU,DrAr8WxEme3,Bongki PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Gumriak PHCU,tzZOnvYaLza,Gumriak PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Hakima Yacoub PHCC,ROvqQFjmeyY,Hakima Yacoub PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Jamjang Payam,Jamjang PHCC,fZMGT7FP3yV,Jamjang PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Ruweng Administrative Area,Pariang County,Nyiel Payam,Kong PHCU,VgbxK87iIUK,Kong PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Leer County,Adok Payam,Adok PHCC,ikP6hKzp426,Adok PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Unity State,Leer County,Bou Payam,Bou PHCU,uT5MmWFyeow,Bou PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Koch County,Boaw Payam,Boaw PHCC,qWRgw28vCN8,Boaw PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Unity State,Leer County,Padeah Payam,Dindin PHCU,iHZKwYatK5z,Dindin PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Panyijar County,Tiap Payam,Chuk PHCU,uRzBQauQjxq,Chuk PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Leer County,Padeah Payam,Gandor PHCU,UfU1uxTchpt,Gandor PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Panyijar County,Ganyliel Payam,Ganyiel PHCC,iAVwvOesvbL,Ganyiel PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Unity State,Leer County,Guat Payam,Guat PHCU,AZWPfydUtO2,Guat PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Guit County,Guit Payam,Guit PHCC,Vr8wp1GIyx8,Guit PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Unity State,Mayendit County,Tharjiath Payam,Jaguar PHCU,WVbiFDfdmkD,Jaguar PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Panyijar County,Nyal Payam,Janglou PHCU,ziDGax3DfFP,Janglou PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Leer County,Dok Payam,Juong PHCU,IwYqd0RGXCf,Juong PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Rubkona County,Kaljak Payam,Kaljak PHCC,coa8AlhTWmr,Kaljak PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Unity State,Guit County,Kadet Payam,Kedat PHCU,A7UXCHbbY6P,Kedat PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Koch County,Kochlual Payam,Koch Hospital,SOrMJAYSAgS,Koch PHCC,   County Hospital,Green,#REF!,#REF!
South Sudan,Unity State,Panyijar County,Kol Payam,Kol PHCU,MoSTnKVEZ1X,Kol PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Guit County,Kuach Payam,Kuach PHCC,hVpj1v7ZGDD,Kuach PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Guit County,Kuerguini Payam,Kuerguini PHCU,QaNPD1hFpLE,Kuerguini PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Mayom County,Kueryiek Payam,Kueryiek PHCU,WEJT2lQoHsY,Kueryiek PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Mayendit County,Thaker Payam,Kuok PHCU,OGOQI7aOkzl,Kuok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Panyijar County,Tiap Payam,Laidit PHCU,VvFi3rKs41p,Laidit PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Unity State,Mayendit County,Luom Payam,Leah PHCU,b1Akm08hEa3,Leah PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,South Renk,Abayok PHCC,SebUamhXY3f,Abayok PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Abienyai PHCU,EgO0i2kpZ3e,Abienyai PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,North Renk Payam,Abukadhra PHCU,HvuVxV83ls4,Abukadhra PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Aburoc Payam,Aburoc PHCC,yKahNV20MYy,Aburoc PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Aburoc PHCU,Pb4sJmFTETR,Aburoc PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Lul Payam,Achake PHCU,zZrPmvt1LVA,Achake PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Kodok Payam,Adodo PHCC,ottnbfaCjnm,Adodo PHCC,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Baliet County,Adong Payam,Adong PHCC,VLB5WUC9xuz,Adong PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,Geger Payam,Alaka PHCU,zNRjNixiN2r,Alaka PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Panyikang County,Panyidwoi Payam,Alaki PHCU,tEqupBB9cpS,Alaki PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Upper Nile State,Ulang County,Yomding Payam,Bimbim PHCU,CI04syitJIF,Bimbim PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Lul Payam,Bol PHCU,y9qUFKh7wey,Bol PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Banashowa Payam,Bougaya PHCU,yxAiV4SM6aU,Bougaya PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Bunj Payam,Bunj HOSPITAL,GrQg9hubq1U,Bunj HOSPITAL,   County Hospital,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Bunj Payam,Bunj RI PHCC,tDKAzEPoKWZ,Bunj RI PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,Chemmedi Payam,Chemmedi PHCC,NI0BM5v04KQ,Chemmedi PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Wudier Payam,Chot Lual PHCU,BdKjvZGqXI2,Chot Lual PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Guelguk Payam,Chutbora PHCC,U2pv5fkNbYB,Chutbora PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Dajo Payam,Dajok PHCC,wH9InfBEE5J,Dajok PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Banashowa Payam,Dangaji PHCU,Z75fKuupjAa,Dangaji PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Dethok Payam,Detwok PHCU,oyZTj9h7TKl,Detwok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Kiech Kuon Payam,Dhekdhek PHCU,fYqaNC8Kpe3,Dhekdhek PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Dingkar Payam,Dingkar PHCU,JhTLpDCdqJ3,Dingkar PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Ulang County,Doma Payam,Doma PHCU,eMYPDAX1PCA,Doma PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Khor El Amer Payam,Doro Extension PHCU,lVunYpHrpzM,Doro Extension PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Khor El Amer Payam,Doro PHCC,rPjmRMRNTOm,Doro PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Ulang County,Ulang Payam,Dura PHCU,CKURGrJCb3r,Dura PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,North Renk Payam,ECS PHCC,LE7GinYcCaJ,ECS PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Roam Payam,Gaireng PHCU,qOlrEij0IwQ,Gaireng PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Melut County,Galdora Payam,Galdora PHCC,b0FiyAiNvKj,Galdora PHCC,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Jinkuata Payam,Gandrassa PHCC,A11fPGbAf0r,Gandrassa PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Bunj Payam,Gasm Allah PHCU,ZFJZj9NsrJk,Gasm Allah PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Baliet County,Gel Achiel Payam,Gellachol PHCU,rloPT3DQ8po,Gellachol PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Jinkuata Payam,Gentil PHCC,uI63V6eQ6Fw,Gentil PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,Geger Payam,Gerger PHCC,rStaVI7Q972,Gerger PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Kodok Payam,Gollo PHCU,znn1oyqeGeF,Gollo PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Guelguk Payam,Guelguk PHCC,VDuX7v6fdNx,Guelguk PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Maker Payam,Gurnyang PHCU,GucHASSPjIt,Gurnyang PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Roam Payam,Homkor PHCU,h57RNt5tUit,Homkor PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,Jalhak Payam,Jalhak PHCC,B4JZRTrsm6l,Jalhak PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Jinmakda Payam,Jamam PHCU,aBrVonWSggt,Jamam PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Renk County,Geger Payam,Jerbana PHCC,IeSzQOXS8E8,Jerbana PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Jikmir Payam,Jikmir PHCC,xBAqaWmzlZQ,Jikmir PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Longochuk Payam,Jongok PHCU,E86ylJwYxOm,Jongok PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maiwut County,Jotome Payam,Jotome PHCU,umn7o95o6e0,Jotome PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Manyo County,Kaka Payam,Kaka PHCC,UmkdBLsmzzv,Kaka PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Jinkuata Payam,Kaya PHCC,BF3n7mziofJ,Kaya PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Maban County,Jinkuata Payam,Kaya PHCU,g5XHHayrqVD,Kaya PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Kiech Kuon Payam,Kierwan PHCU,A9lfvCPxKdn,Kierwan PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Luakpiny/Nasir County,Kuerenge-ke Payam,Kierwanding PHCU,wHhrswCEKpy,Kierwanding PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Manyo County,Kitgwang Payam,Kitgwang  PHCU,mIn2K4BIgkj,Kitgwang  PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Upper Nile State,Fashoda County,Kodok Town Payam,Kodok Hospital,KTwTmj4YNs4,Kodok Hospital,   County Hospital,RED,#REF!,#REF!
South Sudan,Upper Nile State,Ulang County,Kurmuot Payam,Kuich PHCC,QgdOMTycPiQ,Kuich PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Malakal County,Lelo Payam,Lelo PHCU,N3ewyZDBrnN,Lelo PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Warrap State,Gogrial West County,Kuac North Payam,Agei PHCU,cb0I9FwnTon,Agei PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Warrap State,Tonj South County,Tonj Payam,Aguka PHCU,iVDca1azU0U,Aguka PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Warrap State,Twic County,Ajak-kuac Payam,Ajak Kuach PHCC,va2drGChNwX,Ajak Kuach PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Gogrial West County,Kuac North Payam,Ajiep PHCU,dtpHLfGplRU,Ajiep PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Warrap State,Gogrial East County,Toch North Payam,Ajogo PHCU,RI4pL5KdgcB,Ajogo PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Warrap State,Twic County,Wunrok Payam,Ajong PHCU,U8sffylo4Lf,Ajong PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Warrap State,Twic County,Pannyok Payam,Akak PHCC,EdzYa0louw8,Akak PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Twic County,Akoc Payam,Akoc PHCC,B4krw4JvBS5,Akoc PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Gogrial West County,Akon South Payam,Akon PHCC,S4vRB5yyt5Z,Akon PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Tonj North County,Akop Payam,Akop PHCC,s0leue3HW4m,Akop PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Tonj North County,Alabek Payam,Alabek PHCC,Ah1x8SkuSkw,Alabek PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Gogrial West County,Alek South Payam,Alek PHCC,jLqTCTSrnzC,Alek PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Tonj North County,Aliek Payam,Aliek PHCC,H3MZblF6T8s,Aliek PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Twic County,Aweeng Payam,Bulyom PHCU,G2HFUrINYKV,Bulyom PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Warrap State,Twic County,Akoc Payam,Dhiau Agal PHCU,rvQXuA4MFEd,Dhiau Agal PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Warrap State,Tonj North County,Manloor Payam,Fareksika PHCU,d552iEbuKQv,Fareksika PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Warrap State,Gogrial West County,Gogrial Payam,Gogrial PHCC,tSWDBLVbvD9,Gogrial PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Warrap State,Tonj South County,Jak Payam,Jak PHCU,PZRbdd0crdE,Jak PHCU,   PHCU,Green,#REF!,#REF!
