Country,State,County,Payam,HF,DHIS2 ID,Health Facility,HF Level,Colours,Block,LOT
South Sudan,Lakes State,Cueibet County,Malou Pec Payam,Bahrgel PHCU,ws9tZ5lR3lZ,Bahrgel PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Upper Nile State,Akoka County,Akudueng Payam,Bai-chan PHCU,XI2OFKPPcrl,Bai-chan PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Ezo Centre Payam,Baikpa PHCU,CEW91p8bua2,Baikpa PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Tambura County,Tambura Payam,Bakiringba PHCU,ZvY53rerVAi,Bakiringba PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil East County,Baach Payam,Bakou PHCU,atHio2fziI3,Bakou PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Mayom Payam,Bal-Wau PHCU,aTFgNTC8H3Z,Bal-Wau PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Upper Nile State,Baliet County,Nyongkuach Payam,Baliet PHCC,Kgw8QOZNTpO,Baliet PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Upper Nile State,Malakal County,Southern Malakal Payam,Bam PHCU,XXtSlGxZ64h,Bam PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ibba County,Nabanga Payam,Bamani PHCU,Ng7oY0JMyYV,Bamani PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Bariguna Payam,Bambaraze PHCU,L40EIDhNdKF,Bambaraze PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Tambura County,Rii - Yubu Payam,Bambu PHCU,iGTk9UF2dEM,Bambu PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Nagero County,Nagero Payam,Bandala PHCU,QRIyKvkhNK2,Bandala PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Bagidi Payam,Bandala PHCU (Ezo),trIzVrDTw32,Bandala PHCU (Ezo),   PHCU,Orange,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Bariguna Payam,Banduguyo PHCU,p1uEYiw9oNb,Banduguyo PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Andari Payam,Bangangai PHCU,TqPyprm5WDp,Bangangai PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Yambio County,Bangasu Payam,Bangasu PHCC,fStpD2P9h2W,Bangasu PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Northern Bahr El Ghazal State,Aweil Centre County,Bar Mayen Payam,Bar Mayen PHCC,oipRfLR61sJ,Bar Mayen PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Lakes State,Rumbek East County,Aduel Payam,Bar-Aliap PHCU,WCzxEAqyMzo,Bar-Aliap PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Lakes State,Rumbek Centre County,Mayom Payam,Bar-Chol PHCU,KGzIowWEIhd,Bar-Chol PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Andari Payam,Baragu PHCU,QjcNAnIwCT0,Baragu PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Mundri West County,Kotobi Payam,Bari PHCU,zpVx8jLW5OY,Bari PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Bariguna Payam,Bariabande PHCU,CUHlDFAzpSk,Bariabande PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Jonglei State,Nyirol County,Thol Payam,Bariak PHCU,zoRWCPvvAql,Bariak PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Ezo County,Bariguna Payam,Bariguna PHCU,SIM6UyPDaOC,Bariguna PHCU,   PHCU,Green,#REF!,#REF!
South Sudan,Western Bahr El Ghazal State,Jur River County,Kangi Payam,Bartio PHCU,R0i9rz7KSoq,Bartio PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Western Bahr El Ghazal State,Jur River County,Udici Payam,Barurud PHCU,QGhgMeHCum6,Barurud PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Western Bahr El Ghazal State,Jur River County,Udici Payam,Baryar PHCU,YbgURJxFscZ,Baryar PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Western Equatoria State,Nagero County,Namutina Payam (Nagero),Bassan PHCU,FqmbUN7zWOj,Bassan PHCU,   PHCU,RED,#REF!,#REF!
South Sudan,Western Equatoria State,Nzara County,Basukangbi Payam,Basukangbi PHCC,MRgmTnw8Uem,Basukangbi PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Western Bahr El Ghazal State,Wau County,Wau South Payam,Bazia Jedid PHCC,T2LTbCrTWmb,Bazia Jedid PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Yambio County,Yambio Town Payam,Bazungua PHCC,aOgd73bOP6M,Bazungua PHCC,   PHCC,Green,#REF!,#REF!
South Sudan,Western Equatoria State,Mundri East County,Kediba Payam,Bekenye PHCU,LzADYG2d4sv,Bekenye PHCU,   PHCU,Orange,#REF!,#REF!
South Sudan,Upper Nile State,Longochuk County,Pamach Payam,Belwang PHCU,myWKBemERCv,Belwang PHCU,   PHCU,Green,#REF!,#REF!
